,goldSpent_0_l,totalHeal_0_l,turretKills_0_l,damageDealtToBuildings_0_l,totalTimeSpentDead_0_l,totalMinionsKilled_0_l,trueDamageTaken_0_l,wardsPlaced_0_l,totalDamageShieldedOnTeammates_0_l,baronKills_0_l,totalDamageDealt_0_l,neutralMinionsKilled_0_l,wardsKilled_0_l,goldEarned_0_l,trueDamageDealt_0_l,turretsLost_0_l,magicDamageDealtToChampions_0_l,deaths_0_l,totalDamageDealtToChampions_0_l,physicalDamageDealt_0_l,kills_0_l,totalDamageTaken_0_l,physicalDamageDealtToChampions_0_l,damageDealtToTurrets_0_l,trueDamageDealtToChampions_0_l,physicalDamageTaken_0_l,damageSelfMitigated_0_l,magicDamageDealt_0_l,visionWardsBoughtInGame_0_l,assists_0_l,magicDamageTaken_0_l,dragonKills_0_l,visionScore_0_l,totalTimeCCDealt_0_l,damageDealtToObjectives_0_l
0,4000.0,2266.0,0.0,0.0,95.0,114.0,1316.0,4.0,0.0,0.0,48099.0,0.0,0.0,4419.0,0.0,2.0,339.0,5.0,5149.0,47740.0,0.0,15788.0,4810.0,0.0,0.0,12129.0,8247.0,359.0,0.0,0.0,2342.0,0.0,6.0,16.0,0.0
1,5025.0,3893.0,0.0,0.0,79.0,4.0,98.0,7.0,110.0,0.0,76075.0,88.0,4.0,5190.0,6741.0,2.0,566.0,4.0,4291.0,47116.0,2.0,13188.0,2739.0,0.0,985.0,10507.0,10511.0,22217.0,3.0,1.0,2582.0,0.0,18.0,343.0,3822.0
2,4875.0,1244.0,0.0,0.0,106.0,113.0,384.0,2.0,0.0,0.0,49058.0,0.0,3.0,5036.0,1530.0,2.0,6247.0,4.0,6616.0,4780.0,1.0,12456.0,318.0,0.0,50.0,6749.0,5791.0,42747.0,3.0,2.0,5322.0,0.0,11.0,222.0,0.0
3,5025.0,449.0,0.0,874.0,83.0,124.0,98.0,5.0,0.0,0.0,54042.0,0.0,1.0,5621.0,6362.0,2.0,101.0,5.0,8353.0,47508.0,2.0,7757.0,7334.0,874.0,916.0,5140.0,3026.0,171.0,1.0,2.0,2518.0,0.0,9.0,8.0,874.0
4,3250.0,677.0,0.0,0.0,78.0,22.0,88.0,15.0,753.0,0.0,9048.0,0.0,3.0,3317.0,3038.0,2.0,1646.0,5.0,2617.0,2572.0,0.0,7793.0,658.0,0.0,312.0,4359.0,4351.0,3437.0,7.0,3.0,3346.0,0.0,26.0,32.0,0.0
5,6650.0,925.0,2.0,1586.0,0.0,140.0,32.0,5.0,0.0,0.0,91331.0,8.0,0.0,7777.0,9990.0,0.0,2831.0,0.0,14514.0,69862.0,4.0,8032.0,10483.0,1586.0,1199.0,6655.0,7366.0,11478.0,2.0,2.0,1344.0,0.0,12.0,129.0,3560.0
6,7775.0,8119.0,0.0,676.0,6.0,18.0,1483.0,4.0,0.0,0.0,95130.0,99.0,1.0,8799.0,10991.0,0.0,0.0,1.0,9315.0,80237.0,9.0,14814.0,8893.0,676.0,422.0,10522.0,10554.0,3902.0,3.0,5.0,2808.0,2.0,11.0,141.0,24956.0
7,6775.0,1602.0,0.0,76.0,27.0,134.0,373.0,7.0,0.0,0.0,57761.0,0.0,1.0,6949.0,0.0,0.0,10339.0,1.0,10696.0,8162.0,4.0,7744.0,357.0,76.0,0.0,4099.0,2856.0,49598.0,3.0,8.0,3271.0,0.0,9.0,162.0,76.0
8,5925.0,2605.0,0.0,2007.0,21.0,124.0,436.0,3.0,0.0,0.0,58230.0,0.0,4.0,7385.0,0.0,0.0,236.0,1.0,6510.0,55405.0,5.0,6474.0,6273.0,2007.0,0.0,5240.0,2787.0,2825.0,1.0,9.0,796.0,0.0,9.0,59.0,3216.0
9,4325.0,607.0,0.0,0.0,27.0,27.0,498.0,10.0,0.0,0.0,12908.0,0.0,5.0,4368.0,6153.0,0.0,1882.0,2.0,2926.0,3354.0,1.0,7129.0,679.0,0.0,364.0,4507.0,6294.0,3400.0,3.0,8.0,2123.0,0.0,20.0,17.0,371.0
